DataSource,Name,BasinName,ClassName,Mosaic,MosaicDateStart,MosaicDateEnd,ObservedArea,ObservedAreaWater,PercentObserved,PercentWater,
TNC,Sutter Wetland,Sutter,Wetland,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,9452700,2412000,100,25.51651909,
TNC,Sutter Suitable-unassigned,Sutter,Suitable-unassigned,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,54921600,1886400,100,3.434714211,
TNC,Sutter Vineyard/Orchard,Sutter,Vineyard/Orchard,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,271201500,702000,100,0.258848126,
TNC,Tulare Unsuitable,Tulare,Unsuitable,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,3946669200,88891200,79.81477214,2.252309365,
TNC,Tulare Grass/Pasture,Tulare,Grass/Pasture,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,5455494000,14222700,84.4792043,0.260704164,
TNC,Tulare Corn,Tulare,Corn,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,523326600,783450,99.70729499,0.149705748,
TNC,Tulare Field Crop,Tulare,Field Crop,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,2774467800,13369950,92.51513063,0.481892419,
TNC,Tulare Grains,Tulare,Grains,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,761175000,1225800,96.72468432,0.161040497,
TNC,Tulare Alfalfa,Tulare,Alfalfa,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,1265085000,1948500,98.54805239,0.154021271,
TNC,Tulare Rice,Tulare,Rice,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,0,NA,NA,NA,
TNC,Tulare Row Crop,Tulare,Row Crop,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,318510900,2454300,91.8975134,0.770554477,
TNC,Tulare Wetland,Tulare,Wetland,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,12627000,1235700,100,9.786172488,
TNC,Tulare Suitable-unassigned,Tulare,Suitable-unassigned,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,1020723300,3538800,95.39693875,0.346695329,
TNC,Tulare Vineyard/Orchard,Tulare,Vineyard/Orchard,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,6282759600,11200950,97.11357158,0.178280735,
TNC,Yolo Unsuitable,Yolo,Unsuitable,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,285905700,25595550,100,8.95244481,
TNC,Yolo Grass/Pasture,Yolo,Grass/Pasture,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,518663700,544500,100,0.10498132,
TNC,Yolo Corn,Yolo,Corn,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,35374500,45900,100,0.129754484,
TNC,Yolo Field Crop,Yolo,Field Crop,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,252295200,8830800,100,3.500185497,
TNC,Yolo Grains,Yolo,Grains,L8_valley_20130416to20130425_water_cf10yr.tif,4/16/2013,4/25/2013,115674300,40950,100,0.035401122,
